Date,Open,High,Low,Close
2022-12-26 00:00:00-05:00,15.063,15.089,13.874,14.603
2023-01-02 00:00:00-05:00,14.840,14.999,14.024,14.848
2023-01-09 00:00:00-05:00,15.273,16.910,15.130,16.887
2023-01-16 00:00:00-05:00,16.887,17.860,16.719,17.826
2023-01-23 00:00:00-05:00,18.051,20.613,17.805,20.350
2023-01-30 00:00:00-05:00,19.935,21.933,18.936,21.085
2023-02-06 00:00:00-05:00,20.791,23.003,20.771,21.250
2023-02-13 00:00:00-05:00,21.522,23.032,20.947,21.372
2023-02-20 00:00:00-05:00,20.985,23.871,20.406,23.269
2023-02-27 00:00:00-05:00,23.653,23.883,22.416,23.873
2023-03-06 00:00:00-05:00,23.874,24.436,22.709,22.948
2023-03-13 00:00:00-04:00,22.739,26.384,22.285,25.711
2023-03-20 00:00:00-04:00,25.601,27.574,25.116,26.764
2023-03-27 00:00:00-04:00,26.822,27.818,25.836,27.762
2023-04-03 00:00:00-04:00,27.494,27.984,26.380,27.022
2023-04-10 00:00:00-04:00,26.808,27.775,26.205,26.743
2023-04-17 00:00:00-04:00,26.550,28.094,26.418,27.104
2023-04-24 00:00:00-04:00,26.998,27.743,26.210,27.734
2023-05-01 00:00:00-04:00,27.824,29.042,27.225,28.664
2023-05-08 00:00:00-04:00,28.506,29.204,28.030,28.324
2023-05-15 00:00:00-04:00,28.492,31.810,28.136,31.247
2023-05-22 00:00:00-04:00,30.884,39.458,29.789,38.924
2023-05-29 00:00:00-04:00,40.572,41.915,37.801,39.305
2023-06-05 00:00:00-04:00,38.887,39.689,37.335,38.748
2023-06-12 00:00:00-04:00,39.182,43.701,38.600,42.673
2023-06-19 00:00:00-04:00,42.978,43.970,41.996,42.190
2023-06-26 00:00:00-04:00,42.442,42.745,40.082,42.283
2023-07-03 00:00:00-04:00,42.498,43.194,41.327,42.484
2023-07-10 00:00:00-04:00,42.638,48.066,41.630,45.448
2023-07-17 00:00:00-04:00,46.268,47.874,44.080,44.289
2023-07-24 00:00:00-04:00,44.711,47.374,44.020,46.729
2023-07-31 00:00:00-04:00,46.733,47.109,43.367,44.660
2023-08-07 00:00:00-04:00,45.091,45.519,40.621,40.836
2023-08-14 00:00:00-04:00,40.468,45.247,40.293,43.279
2023-08-21 00:00:00-04:00,44.474,50.243,44.202,45.997
2023-08-28 00:00:00-04:00,46.461,49.904,44.868,48.487
2023-09-04 00:00:00-04:00,48.201,48.829,45.132,45.551
2023-09-11 00:00:00-04:00,46.131,46.146,43.792,43.884
2023-09-18 00:00:00-04:00,42.732,44.226,40.965,41.595
2023-09-25 00:00:00-04:00,41.576,44.128,41.162,43.483
2023-10-02 00:00:00-04:00,44.014,45.772,43.230,45.745
2023-10-09 00:00:00-04:00,44.825,47.591,44.352,45.444
2023-10-16 00:00:00-04:00,45.046,46.208,41.063,41.372
2023-10-23 00:00:00-04:00,41.214,43.681,39.865,40.485
2023-10-30 00:00:00-04:00,41.072,45.292,39.215,44.988
2023-11-06 00:00:00-05:00,45.268,48.454,44.882,48.317
2023-11-13 00:00:00-05:00,48.302,49.941,48.081,49.280
2023-11-20 00:00:00-05:00,49.294,50.529,47.672,47.758
2023-11-27 00:00:00-05:00,47.782,48.744,46.170,46.748
2023-12-04 00:00:00-05:00,46.060,47.723,44.993,47.488
2023-12-11 00:00:00-05:00,47.478,49.390,45.817,48.876
2023-12-18 00:00:00-05:00,49.386,50.419,48.084,48.816
2023-12-25 00:00:00-05:00,48.954,49.983,48.737,49.508
2024-01-01 00:00:00-05:00,49.230,49.533,47.307,49.083
2024-01-08 00:00:00-05:00,49.498,55.330,49.465,54.694
2024-01-15 00:00:00-05:00,55.002,59.483,54.724,59.474
2024-01-22 00:00:00-05:00,60.032,62.831,58.568,61.014
2024-01-29 00:00:00-05:00,61.215,66.581,60.683,66.141
2024-02-05 00:00:00-05:00,68.206,72.165,66.281,72.113
2024-02-12 00:00:00-05:00,72.579,74.590,69.600,72.592
2024-02-19 00:00:00-05:00,71.927,82.371,66.229,78.795
2024-02-26 00:00:00-05:00,79.677,82.277,77.103,82.256
2024-03-04 00:00:00-05:00,84.106,97.372,83.393,87.503
2024-03-11 00:00:00-04:00,86.409,91.938,84.146,87.816
2024-03-18 00:00:00-04:00,90.367,94.756,84.990,94.267
2024-03-25 00:00:00-04:00,93.919,96.743,89.102,90.335
2024-04-01 00:00:00-04:00,90.278,92.203,85.860,87.987
2024-04-08 00:00:00-04:00,88.679,90.718,83.002,88.165
2024-04-15 00:00:00-04:00,89.077,90.592,75.588,76.182
2024-04-22 00:00:00-04:00,78.086,88.310,76.382,87.714
2024-04-29 00:00:00-04:00,87.574,89.260,81.236,88.768
2024-05-06 00:00:00-04:00,89.369,92.198,88.210,89.857
2024-05-13 00:00:00-04:00,90.457,95.796,88.508,92.457
2024-05-20 00:00:00-04:00,93.728,106.450,93.158,106.444
2024-05-27 00:00:00-04:00,110.218,115.792,106.915,109.607
2024-06-03 00:00:00-04:00,113.594,125.557,111.977,120.859
2024-06-10 00:00:00-04:00,120.342,132.809,116.982,131.849
2024-06-17 00:00:00-04:00,132.969,140.738,124.281,126.550
2024-06-24 00:00:00-04:00,123.221,128.100,118.022,123.521
2024-07-01 00:00:00-04:00,123.451,128.830,118.812,125.811
2024-07-08 00:00:00-04:00,127.470,136.129,127.020,129.220
2024-07-15 00:00:00-04:00,130.540,131.370,116.542,117.912
2024-07-22 00:00:00-04:00,120.331,124.671,106.284,113.043
2024-07-29 00:00:00-04:00,113.672,120.141,101.354,107.253
2024-08-05 00:00:00-04:00,92.046,108.783,90.676,104.734
2024-08-12 00:00:00-04:00,106.304,124.981,106.244,124.561
2024-08-19 00:00:00-04:00,124.261,130.730,123.081,129.350
2024-08-26 00:00:00-04:00,129.550,131.240,116.692,119.352
2024-09-02 00:00:00-04:00,115.992,116.192,100.934,102.814
2024-09-09 00:00:00-04:00,104.864,120.771,103.674,119.082
2024-09-16 00:00:00-04:00,116.782,119.652,113.212,115.992
2024-09-23 00:00:00-04:00,116.542,127.661,114.852,121.392
2024-09-30 00:00:00-04:00,118.302,125.031,115.132,124.911
2024-10-07 00:00:00-04:00,124.981,135.771,124.941,134.791
2024-10-14 00:00:00-04:00,136.461,140.880,128.731,137.990
2024-10-21 00:00:00-04:00,138.120,144.410,137.451,141.530
2024-10-28 00:00:00-04:00,142.990,143.130,132.101,135.391
2024-11-04 00:00:00-05:00,137.201,149.760,135.561,147.620
2024-11-11 00:00:00-05:00,148.670,149.640,140.070,141.970
2024-11-18 00:00:00-05:00,139.490,152.879,137.141,141.940
2024-11-25 00:00:00-05:00,141.980,142.040,131.791,138.240
2024-12-02 00:00:00-05:00,138.820,146.530,137.811,142.430
2024-12-09 00:00:00-05:00,138.970,141.820,132.540,134.250
2024-12-16 00:00:00-05:00,134.180,136.700,126.860,134.700
2024-12-23 00:00:00-05:00,136.280,141.900,134.710,137.010
2024-12-30 00:00:00-05:00,134.830,144.900,133.830,144.470
2025-01-06 00:00:00-05:00,148.590,153.130,134.220,135.910
2025-01-13 00:00:00-05:00,129.990,138.750,129.510,137.710
2025-01-20 00:00:00-05:00,139.160,148.970,137.090,142.620
2025-01-27 00:00:00-05:00,124.800,129.000,116.250,120.070
2025-02-03 00:00:00-05:00,114.750,130.370,113.010,129.840
2025-02-10 00:00:00-05:00,130.090,139.250,129.080,138.850
2025-02-17 00:00:00-05:00,141.270,143.440,134.030,134.430
2025-02-24 00:00:00-05:00,136.560,138.590,124.440,131.280
